Raw_Name,Canonical_Name,Match_Score
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
Mistral AI Inc.,Mistral AI,95
Runway,Runway,100
OpenAI Inc.,OpenAI,90
Anthropic,Anthropic,100
Cohere Inc.,Cohere,90
Mistral AI,Mistral AI,100
Runway Inc.,Runway,90
OpenAI,OpenAI,100
Anthropic Inc.,Anthropic,95
Cohere,Cohere,100
